Lớp 0: TP=174, TN=7849, FP=1, FN=3
Lớp 1: TP=220, TN=7750, FP=38, FN=19
Lớp 2: TP=190, TN=7804, FP=13, FN=20
Lớp 3: TP=200, TN=7817, FP=3, FN=7
Lớp 4: TP=192, TN=7817, FP=7, FN=11
Lớp 5: TP=232, TN=7783, FP=5, FN=7
Lớp 6: TP=230, TN=7779, FP=7, FN=11
Lớp 7: TP=218, TN=7782, FP=6, FN=21
Lớp 8: TP=273, TN=7720, FP=19, FN=15
Lớp 9: TP=291, TN=7715, FP=17, FN=4
Lớp 10: TP=285, TN=7695, FP=29, FN=18
Lớp 11: TP=328, TN=7673, FP=20, FN=6
Lớp 12: TP=236, TN=7778, FP=9, FN=4
Lớp 13: TP=347, TN=7645, FP=15, FN=20
Lớp 14: TP=231, TN=7781, FP=5, FN=10
Lớp 15: TP=295, TN=7716, FP=5, FN=11
Lớp 16: TP=192, TN=7815, FP=3, FN=17
Lớp 17: TP=207, TN=7805, FP=5, FN=10
Lớp 18: TP=257, TN=7752, FP=5, FN=13
Lớp 19: TP=202, TN=7779, FP=10, FN=36
Lớp 20: TP=209, TN=7806, FP=5, FN=7
Lớp 21: TP=252, TN=7721, FP=26, FN=28
Lớp 22: TP=248, TN=7727, FP=21, FN=31
Lớp 23: TP=217, TN=7783, FP=10, FN=17
Lớp 24: TP=151, TN=7868, FP=2, FN=6
Lớp 25: TP=221, TN=7786, FP=4, FN=16
Lớp 26: TP=333, TN=7658, FP=19, FN=17
Lớp 27: TP=314, TN=7679, FP=24, FN=10
Lớp 28: TP=169, TN=7826, FP=29, FN=3
Lớp 29: TP=169, TN=7821, FP=30, FN=7
Lớp 30: TP=139, TN=7858, FP=10, FN=20
Lớp 31: TP=167, TN=7833, FP=26, FN=1
Lớp 32: TP=206, TN=7811, FP=4, FN=6
